"Activity" "Subject" "SensorLocation" "AggregationMethod" "mean(value)"
"SITTING" "Test" "tBodyGyroJerkMag" "std()" -0.983877373299389
"SITTING" "Test" "tBodyGyroMag" "mean()" -0.944897951527495
"SITTING" "Test" "tBodyGyroMag" "std()" -0.952093296334012
"SITTING" "Test" "tGravityAcc" "mean()" 0.36887478814943
"SITTING" "Test" "tGravityAcc" "std()" -0.962285469490835
"SITTING" "Test" "tGravityAccMag" "mean()" -0.953534394704684
"SITTING" "Test" "tGravityAccMag" "std()" -0.9392153100611
"SITTING" "Train" "fBodyAcc" "mean()" -0.963166327562468
"SITTING" "Train" "fBodyAcc" "std()" -0.950719402080197
"SITTING" "Train" "fBodyAccJerk" "mean()" -0.980119707426128
"SITTING" "Train" "fBodyAccJerk" "std()" -0.982314162882322
"SITTING" "Train" "fBodyAccMag" "mean()" -0.952673262657854
"SITTING" "Train" "fBodyAccMag" "std()" -0.941966512135303
"SITTING" "Train" "fBodyBodyAccJerkMag" "mean()" -0.979261088468118
"SITTING" "Train" "fBodyBodyAccJerkMag" "std()" -0.978627076430793
"SITTING" "Train" "fBodyBodyGyroJerkMag" "mean()" -0.985679431041991
"SITTING" "Train" "fBodyBodyGyroJerkMag" "std()" -0.984677767993779
"SITTING" "Train" "fBodyBodyGyroMag" "mean()" -0.964102259572317
"SITTING" "Train" "fBodyBodyGyroMag" "std()" -0.951296691880249
"SITTING" "Train" "fBodyGyro" "mean()" -0.970520872410575
"SITTING" "Train" "fBodyGyro" "std()" -0.969335017693105
"SITTING" "Train" "tBodyAcc" "mean()" 0.0515752149953784
"SITTING" "Train" "tBodyAcc" "std()" -0.952977311994383
"SITTING" "Train" "tBodyAccJerk" "mean()" 0.0262936119116968
"SITTING" "Train" "tBodyAccJerk" "std()" -0.980906948268533
"SITTING" "Train" "tBodyAccJerkMag" "mean()" -0.982966618413686
"SITTING" "Train" "tBodyAccJerkMag" "std()" -0.9794403344479
"SITTING" "Train" "tBodyAccMag" "mean()" -0.955067543234837
"SITTING" "Train" "tBodyAccMag" "std()" -0.939365758525816
"SITTING" "Train" "tBodyGyro" "mean()" -0.0107197227105848
"SITTING" "Train" "tBodyGyro" "std()" -0.968820164377916
"SITTING" "Train" "tBodyGyroJerk" "mean()" -0.062614836777577
"SITTING" "Train" "tBodyGyroJerk" "std()" -0.985801144720062
"SITTING" "Train" "tBodyGyroJerkMag" "mean()" -0.988248275785381
"SITTING" "Train" "tBodyGyroJerkMag" "std()" -0.984886442970451
"SITTING" "Train" "tBodyGyroMag" "mean()" -0.94742138466563
"SITTING" "Train" "tBodyGyroMag" "std()" -0.950857575620529
"SITTING" "Train" "tGravityAcc" "mean()" 0.385269643416211
"SITTING" "Train" "tGravityAcc" "std()" -0.961297940599533
"SITTING" "Train" "tGravityAccMag" "mean()" -0.955067543234837
"SITTING" "Train" "tGravityAccMag" "std()" -0.939365758525816
"STANDING" "Test" "fBodyAcc" "mean()" -0.955535811785714
"STANDING" "Test" "fBodyAcc" "std()" -0.944931775539474
"STANDING" "Test" "fBodyAccJerk" "mean()" -0.969036488878446
"STANDING" "Test" "fBodyAccJerk" "std()" -0.972955964755639
"STANDING" "Test" "fBodyAccMag" "mean()" -0.949774215169173
"STANDING" "Test" "fBodyAccMag" "std()" -0.943924405018797
"STANDING" "Test" "fBodyBodyAccJerkMag" "mean()" -0.965635777255639
"STANDING" "Test" "fBodyBodyAccJerkMag" "std()" -0.965905446015038
"STANDING" "Test" "fBodyBodyGyroJerkMag" "mean()" -0.968115551522556
"STANDING" "Test" "fBodyBodyGyroJerkMag" "std()" -0.967361696372181
"STANDING" "Test" "fBodyBodyGyroMag" "mean()" -0.935236448120301
"STANDING" "Test" "fBodyBodyGyroMag" "std()" -0.914716719605263
"STANDING" "Test" "fBodyGyro" "mean()" -0.946083803571429
"STANDING" "Test" "fBodyGyro" "std()" -0.946237270344612
"STANDING" "Test" "tBodyAcc" "mean()" 0.0526320932706278
"STANDING" "Test" "tBodyAcc" "std()" -0.946377810699875
"STANDING" "Test" "tBodyAccJerk" "mean()" 0.0259795675579292
"STANDING" "Test" "tBodyAccJerk" "std()" -0.970288128721804
"STANDING" "Test" "tBodyAccJerkMag" "mean()" -0.972931858515038
"STANDING" "Test" "tBodyAccJerkMag" "std()" -0.966123790845865
"STANDING" "Test" "tBodyAccMag" "mean()" -0.947440893270677
"STANDING" "Test" "tBodyAccMag" "std()" -0.940038000263158
"STANDING" "Test" "tBodyGyro" "mean()" -0.00530083388261905
"STANDING" "Test" "tBodyGyro" "std()" -0.944848900858396
"STANDING" "Test" "tBodyGyroJerk" "mean()" -0.0651011210636967
"STANDING" "Test" "tBodyGyroJerk" "std()" -0.969384015256892
"STANDING" "Test" "tBodyGyroJerkMag" "mean()" -0.973808504699248
"STANDING" "Test" "tBodyGyroJerkMag" "std()" -0.966851556766917
"STANDING" "Test" "tBodyGyroMag" "mean()" -0.929095799830827
"STANDING" "Test" "tBodyGyroMag" "std()" -0.91301937112782
"STANDING" "Test" "tGravityAcc" "mean()" 0.257951496656378
"STANDING" "Test" "tGravityAcc" "std()" -0.966784225698622
"STANDING" "Test" "tGravityAccMag" "mean()" -0.947440893270677
"STANDING" "Test" "tGravityAccMag" "std()" -0.940038000263158
"STANDING" "Train" "fBodyAcc" "mean()" -0.962706152947598
"STANDING" "Train" "fBodyAcc" "std()" -0.95308708165672
"STANDING" "Train" "fBodyAccJerk" "mean()" -0.975327162030568
"STANDING" "Train" "fBodyAccJerk" "std()" -0.978180616225133
"STANDING" "Train" "fBodyAccMag" "mean()" -0.958227593384279
"STANDING" "Train" "fBodyAccMag" "std()" -0.951799775699709
"STANDING" "Train" "fBodyBodyAccJerkMag" "mean()" -0.973202412219796
"STANDING" "Train" "fBodyBodyAccJerkMag" "std()" -0.972900383770015
"STANDING" "Train" "fBodyBodyGyroJerkMag" "mean()" -0.97750742639738
"STANDING" "Train" "fBodyBodyGyroJerkMag" "std()" -0.975822682598253
"STANDING" "Train" "fBodyBodyGyroMag" "mean()" -0.952814999133916
"STANDING" "Train" "fBodyBodyGyroMag" "std()" -0.936800772816594
"STANDING" "Train" "fBodyGyro" "mean()" -0.959535202020864
"STANDING" "Train" "fBodyGyro" "std()" -0.959391338794275
"STANDING" "Train" "tBodyAcc" "mean()" 0.0519470148511591
"STANDING" "Train" "tBodyAcc" "std()" -0.954573101215429
"STANDING" "Train" "tBodyAccJerk" "mean()" 0.0265864227840439
"STANDING" "Train" "tBodyAccJerk" "std()" -0.976268239881126
"STANDING" "Train" "tBodyAccJerkMag" "mean()" -0.978738869002911
"STANDING" "Train" "tBodyAccJerkMag" "std()" -0.973516388609898
"STANDING" "Train" "tBodyAccMag" "mean()" -0.95678885018195
"STANDING" "Train" "tBodyAccMag" "std()" -0.949050271871907
"STANDING" "Train" "tBodyGyro" "mean()" -0.0045398512052426
"STANDING" "Train" "tBodyGyro" "std()" -0.958410072520621
"STANDING" "Train" "tBodyGyroJerk" "mean()" -0.064564082192523
"STANDING" "Train" "tBodyGyroJerk" "std()" -0.976845396550218
"STANDING" "Train" "tBodyGyroJerkMag" "mean()" -0.980589908020378
"STANDING" "Train" "tBodyGyroJerkMag" "std()" -0.976113861921397
"STANDING" "Train" "tBodyGyroMag" "mean()" -0.947207964796215
"STANDING" "Train" "tBodyGyroMag" "std()" -0.935924401841339
"STANDING" "Train" "tGravityAcc" "mean()" 0.243768244150042
"STANDING" "Train" "tGravityAcc" "std()" -0.971452952527899
"STANDING" "Train" "tGravityAccMag" "mean()" -0.95678885018195
"STANDING" "Train" "tGravityAccMag" "std()" -0.949050271871907
"WALKING" "Test" "fBodyAcc" "mean()" -0.245893334612258
"WALKING" "Test" "fBodyAcc" "std()" -0.261475736867534
"WALKING" "Test" "fBodyAccJerk" "mean()" -0.314323429262218
"WALKING" "Test" "fBodyAccJerk" "std()" -0.293536406451398
"WALKING" "Test" "fBodyAccMag" "mean()" -0.277965865165121
"WALKING" "Test" "fBodyAccMag" "std()" -0.505450664375
"WALKING" "Test" "fBodyBodyAccJerkMag" "mean()" -0.200266603682944
"WALKING" "Test" "fBodyBodyAccJerkMag" "std()" -0.201670204510645
"WALKING" "Test" "fBodyBodyGyroJerkMag" "mean()" -0.53629723682746
"WALKING" "Test" "fBodyBodyGyroJerkMag" "std()" -0.546820470782661
"WALKING" "Test" "fBodyBodyGyroMag" "mean()" -0.448021014490363
"WALKING" "Test" "fBodyBodyGyroMag" "std()" -0.52913161384879
"WALKING" "Test" "fBodyGyro" "mean()" -0.375425085405289
"WALKING" "Test" "fBodyGyro" "std()" -0.461688177234745
"WALKING" "Test" "tBodyAcc" "mean()" 0.0497999781631458
"WALKING" "Test" "tBodyAcc" "std()" -0.231202695320739
"WALKING" "Test" "tBodyAccJerk" "mean()" 0.0281288719563508
"WALKING" "Test" "tBodyAccJerk" "std()" -0.283664643014805
"WALKING" "Test" "tBodyAccJerkMag" "mean()" -0.237173351544978
"WALKING" "Test" "tBodyAccJerkMag" "std()" -0.198067072712843
"WALKING" "Test" "tBodyAccMag" "mean()" -0.185612933587746
"WALKING" "Test" "tBodyAccMag" "std()" -0.355577474335887
"WALKING" "Test" "tBodyGyro" "mean()" -0.00544506017871169
"WALKING" "Test" "tBodyGyro" "std()" -0.425471707016935
"WALKING" "Test" "tBodyGyroJerk" "mean()" -0.0636874768020766
"WALKING" "Test" "tBodyGyroJerk" "std()" -0.471160370281989
"WALKING" "Test" "tBodyGyroJerkMag" "mean()" -0.486469326477823
"WALKING" "Test" "tBodyGyroJerkMag" "std()" -0.525913731689919
"WALKING" "Test" "tBodyGyroMag" "mean()" -0.318522629716532
"WALKING" "Test" "tBodyGyroMag" "std()" -0.436169354776008
"WALKING" "Test" "tGravityAcc" "mean()" 0.240970382595712
"WALKING" "Test" "tGravityAcc" "std()" -0.968453847446237
"WALKING" "Test" "tGravityAccMag" "mean()" -0.185612933587746
"WALKING" "Test" "tGravityAccMag" "std()" -0.355577474335887
"WALKING" "Train" "fBodyAcc" "mean()" -0.219857718760805
"WALKING" "Train" "fBodyAcc" "std()" -0.220131461978861
"WALKING" "Train" "fBodyAccJerk" "mean()" -0.309436812200245
"WALKING" "Train" "fBodyAccJerk" "std()" -0.295637385704544
"WALKING" "Train" "fBodyAccMag" "mean()" -0.274583992340065
"WALKING" "Train" "fBodyAccMag" "std()" -0.469706683062806
"WALKING" "Train" "fBodyBodyAccJerkMag" "mean()" -0.220474636401958
"WALKING" "Train" "fBodyBodyAccJerkMag" "std()" -0.229687911080799
"WALKING" "Train" "fBodyBodyGyroJerkMag" "mean()" -0.507109768565555
"WALKING" "Train" "fBodyBodyGyroJerkMag" "std()" -0.501290499908646
"WALKING" "Train" "fBodyBodyGyroMag" "mean()" -0.393456402177055
"WALKING" "Train" "fBodyBodyGyroMag" "std()" -0.451461098451794
"WALKING" "Train" "fBodyGyro" "mean()" -0.338322607204059
"WALKING" "Train" "fBodyGyro" "std()" -0.39983948632065
"WALKING" "Train" "tBodyAcc" "mean()" 0.0498694668387246
"WALKING" "Train" "tBodyAcc" "std()" -0.193064053676944
"WALKING" "Train" "tBodyAccJerk" "mean()" 0.028840017780321
"WALKING" "Train" "tBodyAccJerk" "std()" -0.283000982195009
"WALKING" "Train" "tBodyAccJerkMag" "mean()" -0.243182988691175
"WALKING" "Train" "tBodyAccJerkMag" "std()" -0.22122673901031
"WALKING" "Train" "tBodyAccMag" "mean()" -0.16078708767832
"WALKING" "Train" "tBodyAccMag" "std()" -0.33054317771252
"WALKING" "Train" "tBodyGyro" "mean()" -0.00612383671451482
"WALKING" "Train" "tBodyGyro" "std()" -0.369228198628714
"WALKING" "Train" "tBodyGyroJerk" "mean()" -0.0645371746649347
"WALKING" "Train" "tBodyGyroJerk" "std()" -0.435009890155764
"WALKING" "Train" "tBodyGyroJerkMag" "mean()" -0.450009825369331
"WALKING" "Train" "tBodyGyroJerkMag" "std()" -0.487888281890326
"WALKING" "Train" "tBodyGyroMag" "mean()" -0.257203964799315
"WALKING" "Train" "tBodyGyroMag" "std()" -0.36096832426354
"WALKING" "Train" "tGravityAcc" "mean()" 0.222964671268275
"WALKING" "Train" "tGravityAcc" "std()" -0.965528588583469
"WALKING" "Train" "tGravityAccMag" "mean()" -0.16078708767832
"WALKING" "Train" "tGravityAccMag" "std()" -0.33054317771252
"WALKING_DOWNSTAIRS" "Test" "fBodyAcc" "mean()" -0.0984502549466111
"WALKING_DOWNSTAIRS" "Test" "fBodyAcc" "std()" -0.107623302649302
"WALKING_DOWNSTAIRS" "Test" "fBodyAccJerk" "mean()" -0.216017457206761
"WALKING_DOWNSTAIRS" "Test" "fBodyAccJerk" "std()" -0.243436138692153
"WALKING_DOWNSTAIRS" "Test" "fBodyAccMag" "mean()" 0.0766089178870952
"WALKING_DOWNSTAIRS" "Test" "fBodyAccMag" "std()" -0.130476071203333
"WALKING_DOWNSTAIRS" "Test" "fBodyBodyAccJerkMag" "mean()" -0.0487443964492857
"WALKING_DOWNSTAIRS" "Test" "fBodyBodyAccJerkMag" "std()" -0.0504212059297857
"WALKING_DOWNSTAIRS" "Test" "fBodyBodyGyroJerkMag" "mean()" -0.472266338783095
"WALKING_DOWNSTAIRS" "Test" "fBodyBodyGyroJerkMag" "std()" -0.494187116095476
"WALKING_DOWNSTAIRS" "Test" "fBodyBodyGyroMag" "mean()" -0.344731299676667
"WALKING_DOWNSTAIRS" "Test" "fBodyBodyGyroMag" "std()" -0.407172196497619
"WALKING_DOWNSTAIRS" "Test" "fBodyGyro" "mean()" -0.280386253074532
"WALKING_DOWNSTAIRS" "Test" "fBodyGyro" "std()" -0.420735837128016
"WALKING_DOWNSTAIRS" "Test" "tBodyAcc" "mean()" 0.055452611754283
"WALKING_DOWNSTAIRS" "Test" "tBodyAcc" "std()" -0.0736681603167064
"WALKING_DOWNSTAIRS" "Test" "tBodyAccJerk" "mean()" 0.0266717338370278
"WALKING_DOWNSTAIRS" "Test" "tBodyAccJerk" "std()" -0.206587723212222
"WALKING_DOWNSTAIRS" "Test" "tBodyAccJerkMag" "mean()" -0.163692387624738
"WALKING_DOWNSTAIRS" "Test" "tBodyAccJerkMag" "std()" -0.0450688652907857
"WALKING_DOWNSTAIRS" "Test" "tBodyAccMag" "mean()" 0.0164621317664286
"WALKING_DOWNSTAIRS" "Test" "tBodyAccMag" "std()" 0.0504083176412857
"WALKING_DOWNSTAIRS" "Test" "tBodyGyro" "mean()" -0.0170135352387302
"WALKING_DOWNSTAIRS" "Test" "tBodyGyro" "std()" -0.363691936969571
"WALKING_DOWNSTAIRS" "Test" "tBodyGyroJerk" "mean()" -0.0593781501542063
"WALKING_DOWNSTAIRS" "Test" "tBodyGyroJerk" "std()" -0.421037277896667
"WALKING_DOWNSTAIRS" "Test" "tBodyGyroJerkMag" "mean()" -0.463187856659524
"WALKING_DOWNSTAIRS" "Test" "tBodyGyroJerkMag" "std()" -0.464553224377857
"WALKING_DOWNSTAIRS" "Test" "tBodyGyroMag" "mean()" -0.188907287860786
"WALKING_DOWNSTAIRS" "Test" "tBodyGyroMag" "std()" -0.308151790967905
"WALKING_DOWNSTAIRS" "Test" "tGravityAcc" "mean()" 0.24052382740781
"WALKING_DOWNSTAIRS" "Test" "tGravityAcc" "std()" -0.934849726920635
"WALKING_DOWNSTAIRS" "Test" "tGravityAccMag" "mean()" 0.0164621317664286
"WALKING_DOWNSTAIRS" "Test" "tGravityAccMag" "std()" 0.0504083176412857
"WALKING_DOWNSTAIRS" "Train" "fBodyAcc" "mean()" -0.015951681588668
"WALKING_DOWNSTAIRS" "Train" "fBodyAcc" "std()" -0.0169789272717579
"WALKING_DOWNSTAIRS" "Train" "fBodyAccJerk" "mean()" -0.156039188467613
"WALKING_DOWNSTAIRS" "Train" "fBodyAccJerk" "std()" -0.189655081947554
"WALKING_DOWNSTAIRS" "Train" "fBodyAccMag" "mean()" 0.171065464344219
"WALKING_DOWNSTAIRS" "Train" "fBodyAccMag" "std()" -0.0519754917174949
"WALKING_DOWNSTAIRS" "Train" "fBodyBodyAccJerkMag" "mean()" 0.027554426056359
"WALKING_DOWNSTAIRS" "Train" "fBodyBodyAccJerkMag" "std()" -0.0387999123583974
"WALKING_DOWNSTAIRS" "Train" "fBodyBodyGyroJerkMag" "mean()" -0.423414186458479
"WALKING_DOWNSTAIRS" "Train" "fBodyBodyGyroJerkMag" "std()" -0.483144255183296
"WALKING_DOWNSTAIRS" "Train" "fBodyBodyGyroMag" "mean()" -0.266010319105811
"WALKING_DOWNSTAIRS" "Train" "fBodyBodyGyroMag" "std()" -0.341661716555527
"WALKING_DOWNSTAIRS" "Train" "fBodyGyro" "mean()" -0.213832713105308
"WALKING_DOWNSTAIRS" "Train" "fBodyGyro" "std()" -0.351901555841903
"WALKING_DOWNSTAIRS" "Train" "tBodyAcc" "mean()" 0.0553127923005987
"WALKING_DOWNSTAIRS" "Train" "tBodyAcc" "std()" 0.0168876164952404
"WALKING_DOWNSTAIRS" "Train" "tBodyAccJerk" "mean()" 0.0272562055464402
"WALKING_DOWNSTAIRS" "Train" "tBodyAccJerk" "std()" -0.147866524428259
"WALKING_DOWNSTAIRS" "Train" "tBodyAccJerkMag" "mean()" -0.0896983345591278
"WALKING_DOWNSTAIRS" "Train" "tBodyAccJerkMag" "std()" 0.00319743123002028
"WALKING_DOWNSTAIRS" "Train" "tBodyAccMag" "mean()" 0.137366108163682
"WALKING_DOWNSTAIRS" "Train" "tBodyAccMag" "std()" 0.144636835872059
"WALKING_DOWNSTAIRS" "Train" "tBodyGyro" "mean()" -0.0128823315158431
"WALKING_DOWNSTAIRS" "Train" "tBodyGyro" "std()" -0.294857329192664
"WALKING_DOWNSTAIRS" "Train" "tBodyGyroJerk" "mean()" -0.0597008498561156
"WALKING_DOWNSTAIRS" "Train" "tBodyGyroJerk" "std()" -0.37919843554093
"WALKING_DOWNSTAIRS" "Train" "tBodyGyroJerkMag" "mean()" -0.397171015459939
"WALKING_DOWNSTAIRS" "Train" "tBodyGyroJerkMag" "std()" -0.430866415856653
"WALKING_DOWNSTAIRS" "Train" "tBodyGyroMag" "mean()" -0.104601976301298
"WALKING_DOWNSTAIRS" "Train" "tBodyGyroMag" "std()" -0.227265452316329
"WALKING_DOWNSTAIRS" "Train" "tGravityAcc" "mean()" 0.235013809521409
"WALKING_DOWNSTAIRS" "Train" "tGravityAcc" "std()" -0.931012122180527
"WALKING_DOWNSTAIRS" "Train" "tGravityAccMag" "mean()" 0.137366108163682
"WALKING_DOWNSTAIRS" "Train" "tGravityAccMag" "std()" 0.144636835872059
"WALKING_UPSTAIRS" "Test" "fBodyAcc" "mean()" -0.292952477639667
"WALKING_UPSTAIRS" "Test" "fBodyAcc" "std()" -0.187709728155442
"WALKING_UPSTAIRS" "Test" "fBodyAccJerk" "mean()" -0.463693603887233
"WALKING_UPSTAIRS" "Test" "fBodyAccJerk" "std()" -0.485089842282902
"WALKING_UPSTAIRS" "Test" "fBodyAccMag" "mean()" -0.292081504854565
"WALKING_UPSTAIRS" "Test" "fBodyAccMag" "std()" -0.39041721744586
"WALKING_UPSTAIRS" "Test" "fBodyBodyAccJerkMag" "mean()" -0.355087381332696
"WALKING_UPSTAIRS" "Test" "fBodyBodyAccJerkMag" "std()" -0.421213315287049
"WALKING_UPSTAIRS" "Test" "fBodyBodyGyroJerkMag" "mean()" -0.666239280021231
"WALKING_UPSTAIRS" "Test" "fBodyBodyGyroJerkMag" "std()" -0.706477443375796
"WALKING_UPSTAIRS" "Test" "fBodyBodyGyroMag" "mean()" -0.495846446322718
"WALKING_UPSTAIRS" "Test" "fBodyBodyGyroMag" "std()" -0.460677679282378
"WALKING_UPSTAIRS" "Test" "fBodyGyro" "mean()" -0.398427630568507
"WALKING_UPSTAIRS" "Test" "fBodyGyro" "std()" -0.383201031553645
"WALKING_UPSTAIRS" "Test" "tBodyAcc" "mean()" 0.0393511668049804
"WALKING_UPSTAIRS" "Test" "tBodyAcc" "std()" -0.194557840264289
"WALKING_UPSTAIRS" "Test" "tBodyAccJerk" "mean()" 0.0237535782316136
"WALKING_UPSTAIRS" "Test" "tBodyAccJerk" "std()" -0.458004589469639
"WALKING_UPSTAIRS" "Test" "tBodyAccJerkMag" "mean()" -0.412947118942675
"WALKING_UPSTAIRS" "Test" "tBodyAccJerkMag" "std()" -0.380950968793418
"WALKING_UPSTAIRS" "Test" "tBodyAccMag" "mean()" -0.156596937200552
"WALKING_UPSTAIRS" "Test" "tBodyAccMag" "std()" -0.282505793501648
"WALKING_UPSTAIRS" "Test" "tBodyGyro" "mean()" -0.00339687329309271
"WALKING_UPSTAIRS" "Test" "tBodyGyro" "std()" -0.370544227786461
"WALKING_UPSTAIRS" "Test" "tBodyGyroJerk" "mean()" -0.0650221982757396
"WALKING_UPSTAIRS" "Test" "tBodyGyroJerk" "std()" -0.604265400313659
"WALKING_UPSTAIRS" "Test" "tBodyGyroJerkMag" "mean()" -0.623815676008493
"WALKING_UPSTAIRS" "Test" "tBodyGyroJerkMag" "std()" -0.67288561866242
